UPI_Banks,Volume_Mn_By_Customers,Volume_Mn,Value_Cr,Month,Year,Total_Value_Cr,Total_Volume_Mn
Bajaj Markets,0.02,0.02,1.66,7,2022.0,3.32,0.04
Bandhan Bank Apps,0.01,0.01,1.35,7,2022.0,2.7,0.02
Bank of Baroda Apps,0.71,0.71,342.85,1,2022.0,685.7,1.42
Bank of Baroda Apps,0.67,0.67,330.69,2,2022.0,661.38,1.34
Bank of Baroda Apps,0.69,0.69,328.61,3,2022.0,657.22,1.38
Bank of Baroda Apps,0.77,0.77,344.65,4,2022.0,689.3,1.54
Bank of Baroda Apps,0.88,0.88,406.79,5,2022.0,813.58,1.76
Bank of Baroda Apps,0.83,0.83,347.72,6,2022.0,695.44,1.66
Bank of Baroda Apps,0.88,0.88,354.45,7,2022.0,708.9,1.76
Bank of India App,0.05,0.05,20.23,1,2022.0,40.46,0.1
Bank of India App,0.05,0.05,21.28,2,2022.0,42.56,0.1
Bank of India Apps,0.08,0.08,26.22,3,2022.0,52.44,0.16
Bank of India Apps,0.1,0.1,32.62,4,2022.0,65.24,0.2
Bank of India Apps,0.12,0.12,40.04,5,2022.0,80.08,0.24
Bank of India Apps,0.13,0.13,41.82,6,2022.0,83.64,0.26
Bank of India Apps,0.15,0.15,46.44,7,2022.0,92.88,0.3
Bank of Maharashtra App,0.05,0.05,12.46,1,2022.0,24.92,0.1
Bank of Maharashtra App,0.05,0.05,12.49,2,2022.0,24.98,0.1
Bank of Maharashtra Apps,0.05,0.05,15.0,3,2022.0,30.0,0.1
Bank of Maharashtra Apps,0.05,0.05,14.56,4,2022.0,29.12,0.1
Bank of Maharashtra Apps,0.06,0.06,16.47,5,2022.0,32.94,0.12
Bank of Maharashtra Apps,0.06,0.06,15.77,6,2022.0,31.54,0.12
Bank of Maharashtra Apps,0.06,0.06,16.47,7,2022.0,32.94,0.12
Canara Bank App,0.26,0.26,98.95,1,2022.0,197.9,0.52
Canara Bank App,0.26,0.26,95.78,2,2022.0,191.56,0.52
Canara Bank Apps,0.31,0.31,109.68,3,2022.0,219.36,0.62
Canara Bank Apps,0.31,0.31,110.31,4,2022.0,220.62,0.62
Canara Bank Apps,0.33,0.33,114.09,5,2022.0,228.18,0.66
Canara Bank Apps,0.34,0.34,109.78,6,2022.0,219.56,0.68
Canara Bank Apps,0.47,0.47,128.79,7,2022.0,257.58,0.94
Central Bank of India App,0.13,0.13,47.33,1,2022.0,94.66,0.26
Central Bank of India App,0.12,0.12,45.26,2,2022.0,90.52,0.24
Central Bank of India Apps,0.14,0.14,50.67,3,2022.0,101.34,0.28
Central Bank of India Apps,0.13,0.13,51.04,4,2022.0,102.08,0.26
Central Bank of India Apps,0.15,0.15,55.4,5,2022.0,110.8,0.3
Central Bank of India Apps,0.15,0.15,54.06,6,2022.0,108.12,0.3
Central Bank of India Apps,0.22,0.22,58.37,7,2022.0,116.74,0.44
Citi Bank App,0.09,0.09,77.8,1,2022.0,155.6,0.18
Citi Bank App,0.08,0.08,69.22,2,2022.0,138.44,0.16
Citi Bank Apps,0.11,0.11,68.41,3,2022.0,136.82,0.22
Citi Bank Apps,0.08,0.08,66.03,4,2022.0,132.06,0.16
Citi Bank Apps,0.13,0.13,78.71,5,2022.0,157.42,0.26
Citi Bank Apps,0.13,0.13,63.54,6,2022.0,127.08,0.26
Citi Bank Apps,0.11,0.11,63.66,7,2022.0,127.32,0.22
City Union Bank App,0.02,0.02,4.92,1,2022.0,9.84,0.04
City Union Bank App,0.02,0.02,5.49,2,2022.0,10.98,0.04
City Union Bank Apps,0.03,0.03,7.3,3,2022.0,14.6,0.06
City Union Bank Apps,0.03,0.03,8.41,4,2022.0,16.82,0.06
City Union Bank Apps,0.03,0.03,10.06,5,2022.0,20.12,0.06
City Union Bank Apps,0.03,0.03,8.72,6,2022.0,17.44,0.06
City Union Bank Apps,0.03,0.03,10.19,7,2022.0,20.38,0.06
Cointab,1.21,1.21,179.22,1,2022.0,358.44,2.42
Cointab,1.73,1.73,280.57,2,2022.0,561.14,3.46
Cointab,0.08,0.08,33.22,3,2022.0,66.44,0.16
Cointab,0.07,0.07,28.5,4,2022.0,57.0,0.14
Cointab,0.06,0.06,23.77,5,2022.0,47.54,0.12
Cointab,0.06,0.06,23.99,6,2022.0,47.98,0.12
Cointab,0.07,0.07,27.3,7,2022.0,54.6,0.14
DBS Digibank App,0.51,0.51,186.79,1,2022.0,373.58,1.02
DBS Digibank App,0.46,0.46,173.63,2,2022.0,347.26,0.92
DBS Digibank Apps,0.49,0.49,185.52,3,2022.0,371.04,0.98
DBS Digibank Apps,0.47,0.47,175.45,4,2022.0,350.9,0.94
DBS Digibank Apps,0.47,0.47,186.33,5,2022.0,372.66,0.94
DBS Digibank Apps,0.46,0.46,171.69,6,2022.0,343.38,0.92
DBS Digibank Apps,0.47,0.47,179.27,7,2022.0,358.54,0.94
Dena Bank App,0.02,0.02,26.5,1,2022.0,53.0,0.04
Dena Bank App,0.02,0.02,23.93,2,2022.0,47.86,0.04
Dena Bank Apps,0.02,0.02,29.32,3,2022.0,58.64,0.04
Deutsche Bank App,0.92,0.92,62.08,1,2022.0,124.03,1.84
Deutsche Bank App,0.87,0.87,70.43,2,2022.0,140.86,1.74
Deutsche Bank Apps,1.02,1.02,93.02,3,2022.0,184.68,2.04
Deutsche Bank Apps,1.51,1.51,128.43,4,2022.0,256.56,3.02
Deutsche Bank Apps,1.64,1.64,116.55,5,2022.0,233.09,3.28
Deutsche Bank Apps,1.51,1.51,99.12,6,2022.0,198.24,3.02
Deutsche Bank Apps,1.87,1.87,116.01,7,2022.0,232.01,3.74
Dhanlaxmi Bank App,0.01,0.01,2.95,1,2022.0,5.9,0.02
Dhanlaxmi Bank App,0.01,0.01,2.83,2,2022.0,5.66,0.02
Dhanlaxmi Bank Apps,0.01,0.01,3.29,3,2022.0,6.58,0.02
Dhanlaxmi Bank Apps,0.01,0.01,3.02,4,2022.0,6.04,0.02
Dhanlaxmi Bank Apps,0.01,0.01,3.35,5,2022.0,6.7,0.02
Dhanlaxmi Bank Apps,0.01,0.01,2.7,6,2022.0,5.4,0.02
Dhanlaxmi Bank Apps,0.01,0.01,2.86,7,2022.0,5.72,0.02
Equitas Small Finance Bank Apps,0.01,0.01,3.87,6,2022.0,7.74,0.02
Equitas Small Finance Bank Apps,0.01,0.01,4.89,7,2022.0,9.78,0.02
Fave,0.37,0.37,13.0,3,2022.0,26.0,0.74
Fave,0.18,0.18,7.73,4,2022.0,15.46,0.36
Fave,0.1,0.1,6.12,5,2022.0,12.24,0.2
Fave,0.12,0.12,6.94,6,2022.0,13.88,0.24
Fave,0.16,0.16,11.06,7,2022.0,22.12,0.32
Federal Bank App,0.54,0.54,109.25,1,2022.0,218.5,1.08
Federal Bank App,0.55,0.55,108.21,2,2022.0,216.42,1.1
Federal Bank Apps,2.45,2.45,360.96,3,2022.0,721.92,4.9
Federal Bank Apps,2.7,2.7,375.64,4,2022.0,751.28,5.4
Federal Bank Apps,3.42,3.42,474.12,5,2022.0,948.24,6.84
Federal Bank Apps,3.55,3.55,494.21,6,2022.0,988.42,7.1
Federal Bank Apps,3.85,3.85,539.55,7,2022.0,1079.1,7.7
Fino Payments bank App,0.03,0.03,2.79,1,2022.0,5.58,0.06
Fino Payments bank App,0.03,0.03,3.25,2,2022.0,6.5,0.06
Fino Payments bank Apps,0.04,0.04,3.47,3,2022.0,6.94,0.08
Fino Payments bank Apps,0.04,0.04,3.26,4,2022.0,6.52,0.08
Fino Payments bank Apps,0.04,0.04,3.83,5,2022.0,7.66,0.08
Fino Payments bank Apps,0.05,0.05,3.17,6,2022.0,6.34,0.1
Fino Payments Bank Apps,0.06,0.06,4.26,7,2022.0,8.52,0.12
Finserv Markets,0.03,0.03,1.49,3,2022.0,2.98,0.06
Finserv Markets,0.01,0.01,1.06,4,2022.0,2.12,0.02
Finserv Markets,0.01,0.01,1.01,5,2022.0,2.02,0.02
Finshell Pay,0.07,0.07,3.69,1,2022.0,7.38,0.14
Finshell Pay,0.06,0.06,3.8,2,2022.0,7.6,0.12
Finshell Pay,0.08,0.08,4.0,3,2022.0,8.0,0.16
Finshell Pay,0.08,0.08,4.45,4,2022.0,8.9,0.16
Finshell Pay,0.09,0.09,4.68,5,2022.0,9.36,0.18
Finshell Pay,0.1,0.1,5.3,6,2022.0,10.6,0.2
GoIbibo,0.02,0.02,5.91,3,2022.0,11.82,0.04
GoIbibo,0.01,0.01,3.31,4,2022.0,6.62,0.02
GoIbibo,0.01,0.01,2.41,5,2022.0,4.82,0.02
GoIbibo,0.01,0.01,3.87,6,2022.0,7.74,0.02
GoIbibo,0.01,0.01,5.1,7,2022.0,10.2,0.02
Groww,0.83,0.83,472.71,3,2022.0,945.42,1.66
Groww,0.61,0.61,376.18,4,2022.0,752.36,1.22
Groww,0.51,0.51,335.28,5,2022.0,670.56,1.02
Groww,0.72,0.72,416.73,6,2022.0,833.46,1.44
Groww,0.49,0.49,290.31,7,2022.0,580.62,0.98
HSBC Bank App,0.08,0.08,54.57,1,2022.0,109.04,0.16
HSBC Bank App,0.08,0.08,52.97,2,2022.0,105.91,0.16
HSBC Bank Apps,0.1,0.1,62.0,3,2022.0,123.85,0.2
HSBC Bank Apps,0.11,0.11,59.72,4,2022.0,119.42,0.22
HSBC Bank Apps,0.1,0.1,63.17,5,2022.0,126.24,0.2
HSBC Bank Apps,0.11,0.11,61.39,6,2022.0,122.77,0.22
HSBC Bank Apps,0.11,0.11,68.47,7,2022.0,136.9,0.22
IDBI Bank App,0.02,0.02,12.54,1,2022.0,25.08,0.04
IDBI Bank App,0.02,0.02,14.6,2,2022.0,29.2,0.04
IDBI Bank Apps,0.03,0.03,16.25,3,2022.0,32.5,0.06
IDBI Bank Apps,0.03,0.03,16.78,4,2022.0,33.56,0.06
IDBI Bank Apps,0.03,0.03,18.48,5,2022.0,36.96,0.06
IDBI Bank Apps,0.03,0.03,15.71,6,2022.0,31.42,0.06
IDBI Bank Apps,0.03,0.03,16.42,7,2022.0,32.84,0.06
IDFC Bank App,1.22,1.22,316.37,1,2022.0,632.74,2.44
IDFC Bank App,1.21,1.21,321.93,2,2022.0,643.86,2.42
IDFC Bank Apps,2.7,2.7,534.56,3,2022.0,1069.12,5.4
IDFC Bank Apps,2.49,2.49,532.69,4,2022.0,1065.38,4.98
IDFC Bank Apps,4.75,4.75,626.34,5,2022.0,1252.68,9.5
IDFC Bank Apps,7.03,7.03,663.65,6,2022.0,1327.3,14.06
IDFC Bank Apps,8.28,8.28,645.34,7,2022.0,1290.68,16.56
India Post Payments Bank App,2.65,2.65,309.42,1,2022.0,618.84,5.3
India Post Payments Bank App,2.21,2.21,268.9,2,2022.0,537.8,4.42
India Post Payments Bank Apps,2.95,2.95,321.14,3,2022.0,642.28,5.9
India Post Payments Bank Apps,2.8,2.8,328.53,4,2022.0,657.06,5.6
India Post Payments Bank Apps,3.1,3.1,351.88,5,2022.0,703.76,6.2
India Post Payments Bank Apps,3.98,3.98,467.34,6,2022.0,934.68,7.96
India Post Payments Bank Apps,4.08,4.08,480.59,7,2022.0,961.18,8.16
Indian Bank App,0.13,0.13,47.42,1,2022.0,94.84,0.26
Indian Bank App,0.11,0.11,42.07,2,2022.0,84.14,0.22
Indian Bank Apps,0.11,0.11,42.26,3,2022.0,84.52,0.22
Indian Bank Apps,0.14,0.14,49.9,4,2022.0,99.8,0.28
Indian Bank Apps,0.16,0.16,53.13,5,2022.0,106.24,0.32
Indian Bank Apps,0.17,0.17,53.68,6,2022.0,106.98,0.34
Indian Bank Apps,0.2,0.21,71.39,7,2022.0,129.54,0.41
Indian Overseas Bank Apps,0.01,0.01,1.62,3,2022.0,3.24,0.02
Indian Overseas Bank Apps,0.01,0.01,1.52,4,2022.0,3.04,0.02
Indian Overseas Bank Apps,0.01,0.01,2.35,5,2022.0,4.7,0.02
Indian Overseas Bank Apps,0.01,0.01,2.98,6,2022.0,5.96,0.02
Indian Overseas Bank Apps,0.01,0.01,3.74,7,2022.0,7.48,0.02
Jammu and Kashmir Bank App,0.01,0.01,2.47,1,2022.0,4.94,0.02
Jammu and Kashmir Bank App,0.01,0.01,3.43,2,2022.0,6.86,0.02
Jammu and Kashmir Bank Apps,0.01,0.01,2.15,3,2022.0,4.3,0.02
Janata Sahakari Bank Apps,0.01,0.01,4.51,3,2022.0,9.02,0.02
Janata Sahakari Bank Apps,0.01,0.01,4.28,4,2022.0,8.56,0.02
Janata Sahakari Bank Apps,0.01,0.01,4.79,5,2022.0,9.58,0.02
Janata Sahakari Bank Apps,0.01,0.01,4.47,6,2022.0,8.94,0.02
Janata Sahakari Bank Apps,0.01,0.01,4.15,7,2022.0,8.3,0.02
Janta Sahakari Bank App,0.01,0.01,4.46,1,2022.0,8.92,0.02
Janta Sahakari Bank App,0.01,0.01,4.33,2,2022.0,8.66,0.02
Jio Payments Bank App,2.05,2.05,114.39,1,2022.0,228.78,4.1
Jio Payments Bank App,1.97,1.97,111.85,2,2022.0,223.7,3.94
Jio Payments Bank Apps,2.27,2.27,129.5,3,2022.0,259.0,4.54
Jio Payments Bank Apps,2.1,2.1,126.25,4,2022.0,252.5,4.2
Jio Payments Bank Apps,2.08,2.08,127.88,5,2022.0,255.76,4.16
Jio Payments Bank Apps,1.87,1.87,116.34,6,2022.0,232.68,3.74
Jio Payments Bank Apps,1.9,1.9,116.59,7,2022.0,233.18,3.8
Jupiter,1.32,1.32,164.8,3,2022.0,329.6,2.64
Jupiter,1.47,1.47,186.13,4,2022.0,372.26,2.94
Jupiter,1.79,1.79,215.44,5,2022.0,430.88,3.58
