UPI Banks,Volume (Mn) By Costumers,Value (Cr) by Costumers,Volume (Mn),Value (Cr),Month,Year
Indian Overseas Bank Apps,0.01,2.98,0.01,2.98,6,2022
Indian Overseas Bank Apps,0.01,3.74,0.01,3.74,7,2022
IndusInd Bank App,0.74,"1,218.79",0.74,"1,218.79",1,2022
IndusInd Bank App,0.77,"1,358.24",0.77,"1,358.24",2,2022
IndusInd Bank Apps,1.03,"2,252.30",1.03,"2,252.30",3,2022
IndusInd Bank Apps,1.02,"2,596.71",1.02,"2,596.71",4,2022
IndusInd Bank Apps,1.01,"1,711.21",1.01,"1,711.21",5,2022
IndusInd Bank Apps,1,"1,645.13",1,"1,645.13",6,2022
IndusInd Bank Apps,0.99,"1,652.26",0.99,"1,652.26",7,2022
Jammu and Kashmir Bank App,0.01,2.47,0.01,2.47,1,2022
Jammu and Kashmir Bank App,0.01,3.43,0.01,3.43,2,2022
Jammu and Kashmir Bank Apps,0.01,2.15,0.01,2.15,3,2022
Janata Sahakari Bank Apps,0.01,4.51,0.01,4.51,3,2022
Janata Sahakari Bank Apps,0.01,4.28,0.01,4.28,4,2022
Janata Sahakari Bank Apps,0.01,4.79,0.01,4.79,5,2022
Janata Sahakari Bank Apps,0.01,4.47,0.01,4.47,6,2022
Janata Sahakari Bank Apps,0.01,4.15,0.01,4.15,7,2022
Janta Sahakari Bank App,0.01,4.46,0.01,4.46,1,2022
Janta Sahakari Bank App,0.01,4.33,0.01,4.33,2,2022
Jio Payments Bank App,2.05,114.39,2.05,114.39,1,2022
Jio Payments Bank App,1.97,111.85,1.97,111.85,2,2022
Jio Payments Bank Apps,2.27,129.5,2.27,129.5,3,2022
Jio Payments Bank Apps,2.1,126.25,2.1,126.25,4,2022
Jio Payments Bank Apps,2.08,127.88,2.08,127.88,5,2022
Jio Payments Bank Apps,1.87,116.34,1.87,116.34,6,2022
Jio Payments Bank Apps,1.9,116.59,1.9,116.59,7,2022
Jupiter,1.32,164.8,1.32,164.8,3,2022
Jupiter,1.47,186.13,1.47,186.13,4,2022
Jupiter,1.79,215.44,1.79,215.44,5,2022
Jupiter,1.89,223.22,1.89,223.22,6,2022
Jupiter,2.1,254.14,2.1,254.14,7,2022
Jupiter Edge (LivQuick PPI App),0.01,0.43,0.01,0.43,4,2022
Jupiter Edge (LivQuick PPI),0.1,5.74,0.1,5.74,5,2022
Jupiter Edge (LivQuick PPI),0.13,8.72,0.13,8.72,6,2022
Jupiter Money,1.02,156.15,1.02,156.15,1,2022
Jupiter Money,1.13,140.79,1.13,140.79,2,2022
Karnataka Bank App,0.25,31.19,0.25,31.19,1,2022
Karnataka Bank App,0.25,31.35,0.25,31.35,2,2022
Karnataka Bank Apps,0.3,37.96,0.3,37.96,3,2022
Karnataka Bank Apps,0.27,35.58,0.27,35.58,4,2022
Karnataka Bank Apps,0.33,40.34,0.33,40.34,5,2022
Karnataka Bank Apps,0.32,43.13,0.32,43.13,6,2022
Karnataka Bank Apps,0.35,48.01,0.35,48.01,7,2022
Karur Vysya Bank App,0.04,17.37,0.04,17.37,1,2022
Karur Vysya Bank App,0.04,17.17,0.04,17.17,2,2022
Karur Vysya Bank Apps,0.04,18.29,0.04,18.29,3,2022
Karur Vysya Bank Apps,0.04,18.54,0.04,18.54,4,2022
Karur Vysya Bank Apps,0.04,17.69,0.04,17.69,5,2022
Karur Vysya Bank Apps,0.04,15.91,0.04,15.91,6,2022
Karur Vysya Bank Apps,0.04,15.66,0.04,15.66,7,2022
Kotak Mahindra Bank Apps,6.88,"1,333.06",6.88,"1,333.06",1,2022
Kotak Mahindra Bank Apps,6.91,"1,383.30",6.91,"1,383.30",2,2022
Kotak Mahindra Bank Apps,7.92,"1,587.51",7.92,"1,587.51",3,2022
Kotak Mahindra Bank Apps,7.96,"1,684.35",7.96,"1,684.35",4,2022
Kotak Mahindra Bank Apps,8.5,"1,882.81",8.5,"1,885.00",5,2022
Kotak Mahindra Bank Apps,8.33,"1,758.64",8.33,"1,762.28",6,2022
Kotak Mahindra Bank Apps,8.86,"1,815.87",8.86,"1,816.33",7,2022
MakeMy Trip,0.06,19.63,0.06,19.63,1,2022
MakeMy Trip,0.08,33.03,0.08,33.03,2,2022
MakeMyTrip,0.1,47.1,0.1,47.1,3,2022
MakeMyTrip,0.09,41.18,0.09,41.18,4,2022
MakeMyTrip,0.09,43.26,0.09,43.26,5,2022
MakeMyTrip,0.11,51.45,0.11,51.45,6,2022
MakeMyTrip,0.13,58.19,0.13,58.19,7,2022
MI Pay,0.27,40.51,0.27,40.51,1,2022
MI Pay,0.25,38.46,0.25,38.46,2,2022
MI Pay,0.24,36.02,0.24,36.02,3,2022
MI Pay,0.19,28.58,0.19,28.58,4,2022
MI Pay,0.2,33.9,0.2,33.9,5,2022
MI Pay,0.17,29.61,0.17,29.61,6,2022
MI Pay,0.16,26.98,0.16,26.98,7,2022
Mobikwik,3.87,886.55,3.87,886.55,1,2022
Mobikwik,3.78,755.89,3.78,755.89,2,2022
Mobikwik,3.6,739.25,3.6,739.25,3,2022
Mobikwik,2.37,421.47,2.37,421.47,4,2022
Mobikwik,2.46,397.7,2.46,397.7,5,2022
Mobikwik,2.31,404.63,2.31,404.63,6,2022
Mobikwik,2.48,462.17,2.48,462.17,7,2022
NSDL Payments Bank App,0.02,1.45,0.02,1.45,1,2022
NSDL Payments Bank App,0.02,1.77,0.02,1.77,2,2022
NSDL Payments Bank Apps,0.02,2.28,0.02,2.28,3,2022
NSDL Payments Bank Apps,0.02,2.32,0.02,2.32,4,2022
NSDL Payments Bank Apps,0.02,2.39,0.02,2.39,5,2022
NSDL Payments Bank Apps,0.02,2.44,0.02,2.44,6,2022
NSDL Payments Bank Apps,0.02,3.5,0.02,3.5,7,2022
Others,0.02,9.08,0.02,9.08,1,2022
Others,0.02,8.15,0.02,8.15,2,2022
Others,0.02,8.11,0.02,8.11,3,2022
Others,0.02,8.26,0.02,8.26,4,2022
Others,0.03,10.7,0.03,10.7,5,2022
Others,0.02,6.34,0.02,6.34,6,2022
Others,0.02,5.15,0.02,5.15,7,2022
Paytm Payments Bank App,615.9,"70,892.01",710.28,"85,125.97",1,2022
Paytm Payments Bank App,613.77,"72,204.32",706.77,"86,299.22",2,2022
Paytm Payments Bank App,729.63,"83,840.44",837.14,"95,650.36",3,2022
Paytm Payments Bank App,740.76,"85,918.88",851.61,"1,01,649.06",4,2022
Paytm Payments Bank App,780.87,"91,546.50",887.45,"1,08,276.78",5,2022
Paytm Payments Bank App,778.87,"89,388.78",877.5,"1,02,119.90",6,2022
Paytm Payments Bank App,828.63,"94,507.77",933.88,"1,11,149.66",7,2022
PhonePe,"2,140.28","4,05,173.78","2,140.28","4,05,173.78",1,2022
PhonePe,"2,120.20","4,07,640.11","2,120.20","4,07,640.11",2,2022
PhonePe,"2,527.15","4,71,401.26","2,527.15","4,71,401.26",3,2022
PhonePe,"2,616.26","4,86,557.03","2,616.26","4,86,557.03",4,2022
PhonePe,"2,778.75","5,11,028.81","2,778.75","5,11,028.81",5,2022
PhonePe,"2,732.59","5,01,474.48","2,732.59","5,01,474.48",6,2022
PhonePe,"2,993.83","5,24,742.49","2,993.83","5,24,742.49",7,2022
Punjab National Bank App,0.09,44.86,0.09,44.86,1,2022
Punjab National Bank App,0.08,43.49,0.08,43.49,2,2022
Punjab National Bank Apps,0.09,46.64,0.09,46.64,3,2022
Punjab National Bank Apps,0.09,46.27,0.09,46.27,4,2022
Punjab National Bank Apps,0.09,43.77,0.09,43.77,5,2022
Punjab National Bank Apps,0.08,40.68,0.08,40.68,6,2022
Punjab National Bank Apps,0.07,35.7,0.07,35.7,7,2022
Punjab Sind Bank Apps,0.01,3.8,0.01,3.8,3,2022
Punjab Sind Bank Apps,0.01,5.38,0.01,5.38,4,2022
Punjab Sind Bank Apps,0.01,6.39,0.01,6.39,5,2022
Punjab Sind Bank Apps,0.01,5.93,0.01,5.93,6,2022
Punjab Sind Bank Apps,0.01,4.03,0.01,4.03,7,2022
Punjab Sindh Bank App,0.01,2.87,0.01,2.87,1,2022
Punjab Sindh Bank Apps,0.01,2.66,0.01,2.66,2,2022
RBL Bank App,0.42,101.45,0.43,101.45,1,2022
RBL Bank App,0.51,107.25,0.51,107.25,2,2022
RBL Bank Apps,0.46,126.74,0.46,126.75,3,2022
RBL Bank Apps,0.3,113.65,0.3,113.65,4,2022
RBL Bank Apps,0.32,124.01,0.38,125.39,5,2022
RBL Bank Apps,0.35,121,0.42,123.89,6,2022
RBL Bank Apps,0.52,120.48,0.54,121.17,7,2022
Samsung Pay,3.17,431.07,3.17,431.07,1,2022
Samsung Pay,3.14,421.97,3.14,421.97,2,2022
Samsung Pay,3.73,473.5,3.73,473.5,3,2022
Samsung Pay,3.81,470.11,3.81,470.11,4,2022
Samsung Pay,4.11,490.3,4.11,490.3,5,2022
Samsung Pay,4.07,468.23,4.07,468.23,6,2022
Samsung Pay,4.05,472.39,4.05,472.39,7,2022
South Indian Bank App,0.13,41.4,0.13,41.4,1,2022
South Indian Bank App,0.12,38.69,0.12,38.69,2,2022
South Indian Bank Apps,0.13,44.63,0.13,44.63,3,2022
South Indian Bank Apps,0.13,45.03,0.13,45.03,4,2022
South Indian Bank Apps,0.14,49.73,0.14,49.73,5,2022
South Indian Bank Apps,0.14,46.66,0.14,46.66,6,2022
South Indian Bank Apps,0.15,46.97,0.15,46.97,7,2022
Standard Chartered Bank App,0.11,60.49,0.11,60.49,1,2022
Standard Chartered Bank App,0.12,64.7,0.12,64.7,2,2022
Standard Chartered Bank Apps,0.13,69.84,0.13,69.84,3,2022
Standard Chartered Bank Apps,0.12,68.15,0.12,68.15,4,2022
Standard Chartered Bank Apps,0.13,70.48,0.13,70.48,5,2022
Standard Chartered Bank Apps,0.13,69.13,0.13,69.13,6,2022
Standard Chartered Bank Apps,0.14,74.11,0.14,74.11,7,2022
State Bank of India Apps,3.62,"1,967.04",3.62,"1,967.05",1,2022
State Bank of India Apps,3.38,"1,863.42",3.38,"1,863.42",2,2022
State Bank of India Apps,4.01,"2,130.56",4.01,"2,130.56",3,2022
State Bank of India Apps,4.03,"2,118.00",4.03,"2,118.00",4,2022
State Bank of India Apps,4.18,"2,195.66",4.18,"2,195.66",5,2022
State Bank of India Apps,3.83,"1,947.10",3.83,"1,947.10",6,2022
State Bank of India Apps,4.15,"2,013.47",4.15,"2,013.47",7,2022
SuperPay,0.1,0.64,0.1,0.64,3,2022
SuperPay,0.02,0.4,0.02,0.4,4,2022
Tamilnad Mercantile Bank Apps,0.01,0.26,0.01,0.26,4,2022
Tamilnad Mercantile Bank Apps,0.01,1.13,0.01,1.13,5,2022
Tamilnad Mercantile Bank Apps,0.03,4.02,0.03,4.02,6,2022
Tamilnad Mercantile Bank Apps,0.05,6.78,0.05,6.78,7,2022
TataNeu,0.35,32.82,0.35,32.82,4,2022
TataNeu,0.22,30.33,0.22,30.33,5,2022
TataNeu,0.12,19.41,0.12,19.41,6,2022
TataNeu,0.11,17.26,0.11,17.26,7,2022
TJSB Bank Apps,0.01,2.1,0.01,2.1,6,2022
TJSB Bank Apps,0.01,2.26,0.01,2.26,7,2022
UCO Bank App,0.16,37.26,0.16,37.26,1,2022
UCO Bank App,0.16,35.05,0.16,35.05,2,2022
UCO Bank Apps,0.19,40.88,0.19,40.88,3,2022
UCO Bank Apps,0.21,41.48,0.21,41.48,4,2022
UCO Bank Apps,0.22,46.39,0.22,46.39,5,2022
UCO Bank Apps,0.22,42.3,0.22,42.3,6,2022
UCO Bank Apps,0.22,46.83,0.22,46.83,7,2022
Ultracash,2.14,177.63,2.14,177.63,1,2022
Ultracash,1.51,158.7,1.51,158.7,2,2022
Ultracash,0.03,1.12,0.03,1.12,3,2022
Ultracash,0.03,2.22,0.03,2.22,4,2022
Ultracash,0.05,4.4,0.05,4.4,5,2022
Ultracash,0.03,3.32,0.03,3.32,6,2022
Ultracash,0.03,2.08,0.03,2.08,7,2022
Union Bank Apps,0.39,182.27,0.39,182.27,1,2022
Union Bank Apps,0.35,166.72,0.35,166.72,2,2022
Union Bank Apps,0.41,197.01,0.41,197.01,3,2022
Union Bank Apps,0.42,198.34,0.42,198.34,4,2022
Union Bank Apps,0.45,211.85,0.45,211.85,5,2022
Union Bank Apps,0.45,199.8,0.45,199.8,6,2022
Union Bank Apps,0.49,208.03,0.49,208.03,7,2022
Utkarsh Small Finance Bank,0.01,2.42,0.01,2.42,2,2022
Utkarsh Small Finance Bank Apps,0.01,3.9,0.01,3.9,3,2022
Utkarsh Small Finance Bank Apps,0.01,3.88,0.01,3.88,4,2022
Utkarsh Small Finance Bank Apps,0.01,4.43,0.01,4.43,5,2022
Utkarsh Small Finance Bank Apps,0.01,3.47,0.01,3.47,6,2022
Utkarsh Small Finance Bank Apps,0.02,4.55,0.02,4.55,7,2022
WhatsApp,2.34,205.83,2.34,205.83,1,2022
WhatsApp,2.24,207.09,2.24,207.09,2,2022
WhatsApp,2.54,239.78,2.54,239.78,3,2022
WhatsApp,2.5,242.4,2.5,242.4,4,2022
WhatsApp,3.48,294.98,3.48,294.98,5,2022
WhatsApp,23.04,429.06,23.04,429.06,6,2022
WhatsApp,6.18,502,6.18,502,7,2022
Yes Bank Apps,27.24,"5,816.96",27.59,"5,817.16",1,2022
Yes Bank Apps,31.99,"6,551.55",32.17,"6,551.61",2,2022
Yes Bank Apps,35.25,"8,746.74",35.25,"8,746.74",3,2022
Yes Bank Apps,34.07,"10,246.99",34.07,"10,246.99",4,2022
Yes Bank Apps,38.19,"10,760.55",39.69,"11,760.16",5,2022
Yes Bank Apps,41.67,"9,889.56",44.03,"11,147.17",6,2022
Yes Bank Apps,55.35,"13,868.41",60.8,"15,236.04",7,2022
YuvaPay,0.05,77.12,0.05,77.12,1,2022
YuvaPay,0.05,89.7,0.05,89.7,2,2022
YuvaPay,0.06,105.39,0.06,105.39,3,2022
YuvaPay,0.06,103.34,0.06,103.34,4,2022
YuvaPay,0.04,88.95,0.04,88.95,5,2022
YuvaPay,0.03,58.31,0.03,58.31,6,2022
YuvaPay,0.01,21.38,0.01,21.38,7,2022
