UPI Banks,Volume (Mn) By Costumers,Value (Cr) by Costumers,Volume (Mn),Value (Cr),Month,Year
Deutsche Bank App,0.55,60.39,0.55,60.65,1,2021
Dhanlaxmi Bank App,0.01,3.07,0.01,3.07,12,2021
Dhanlaxmi Bank App,0.01,2.37,0.01,2.37,11,2021
Dhanlaxmi Bank App,0.01,2.86,0.01,2.86,9,2021
Federal Bank App,0.48,99.96,0.48,99.96,12,2021
Federal Bank App,0.47,91.94,0.47,91.94,11,2021
Federal Bank App,0.44,90.5,0.44,90.5,10,2021
Federal Bank App,0.39,79.44,0.39,79.44,9,2021
Federal Bank App,0.35,74.71,0.35,74.71,8,2021
Federal Bank App,0.28,68.82,0.28,68.82,7,2021
Federal Bank App,0.21,49.99,0.21,49.99,6,2021
Federal Bank App,0.17,38.99,0.17,38.99,5,2021
Federal Bank App,0.19,39.57,0.19,39.57,4,2021
Federal Bank App,0.2,38.85,0.2,38.85,3,2021
Federal Bank App,0.16,30.55,0.16,30.55,2,2021
Federal Bank App,0.15,26.09,0.15,26.09,1,2021
Fino Payments bank App,0.03,2.09,0.03,2.09,12,2021
Fino Payments bank App,0.02,1.81,0.02,1.81,11,2021
Fino Payments bank App,0.02,1.75,0.02,1.75,10,2021
Fino Payments bank App,0.02,1.63,0.02,1.63,9,2021
Fino Payments bank App,0.02,1.38,0.02,1.38,8,2021
Fino Payments bank App,0.01,1.13,0.01,1.13,7,2021
Fino Payments bank App,0.01,1.09,0.01,1.09,6,2021
Fino Payments bank App,0.01,1.23,0.01,1.23,5,2021
Fino Payments bank App,0.01,1.18,0.01,1.18,4,2021
Fino Payments bank App,0.01,1.28,0.01,1.28,3,2021
Fino Payments bank App,0.01,1.14,0.01,1.14,2,2021
Fino Payments bank App,0.01,1.08,0.01,1.08,1,2021
Finshell Pay,0.06,2.92,0.06,2.92,12,2021
Finshell Pay,0.05,2.19,0.05,2.19,11,2021
Finshell Pay,0.03,1.26,0.03,1.26,10,2021
Finshell Pay,0.02,0.72,0.02,0.72,9,2021
Freecharge,1.12,63.8,1.12,63.8,1,2021
Goibibo,0.01,2.62,0.01,2.62,9,2021
Google Pay,1587.43,302989.79,1587.43,302989.79,12,2021
Google Pay,1447.84,283357.99,1447.84,283357.99,11,2021
Google Pay,1451.93,287491.46,1451.93,287491.46,10,2021
Google Pay,1294.56,250393.65,1294.56,250393.65,9,2021
